conn_in	conn_out	dns_in_distinct	ssh_in
49358.0	20645.0	30.0	3513.0
49399.0	20136.0	27.0	3813.0
44142.0	16271.0	28.0	3822.0
41473.0	15431.0	27.0	3965.0
42084.0	15455.0	28.0	3917.0
42229.0	15592.0	27.0	3464.0
42360.0	15451.0	25.0	3422.0
41642.0	15619.0	27.0	2920.0
38598.0	15294.0	23.0	2713.0
37678.0	15438.0	24.0	2583.0
36784.0	15560.0	23.0	2469.0
36469.0	15790.0	22.0	2384.0
36030.0	16332.0	25.0	2195.0
35670.0	15777.0	26.0	2082.0
36089.0	16695.0	26.0	2245.0
36777.0	16764.0	24.0	2514.0
37703.0	17506.0	27.0	2574.0
36943.0	16857.0	27.0	2546.0
37016.0	16864.0	24.0	2495.0
37420.0	17140.0	25.0	2499.0
36748.0	16390.0	61.0	2327.0
35269.0	16324.0	61.0	2036.0
34112.0	15401.0	59.0	2065.0
34099.0	15603.0	60.0	2199.0
34018.0	15313.0	60.0	2202.0
34548.0	15651.0	60.0	2456.0
37765.0	15714.0	33.0	2733.0
38804.0	15704.0	33.0	2946.0
40027.0	16488.0	34.0	3545.0
41059.0	16739.0	31.0	3650.0
41119.0	16558.0	30.0	4135.0
41008.0	16498.0	27.0	4101.0
46108.0	20818.0	25.0	4012.0
49295.0	21515.0	29.0	4129.0
48848.0	20738.0	27.0	3648.0
48514.0	20856.0	29.0	3502.0
49038.0	20876.0	30.0	3630.0
49071.0	20679.0	32.0	3492.0
44867.0	16523.0	34.0	3644.0
43806.0	15538.0	30.0	4076.0
46326.0	16084.0	29.0	4016.0
48370.0	15512.0	30.0	4068.0
50934.0	15752.0	30.0	3615.0
53019.0	15385.0	30.0	4080.0
50128.0	15399.0	30.0	3945.0
47895.0	15388.0	31.0	3632.0
45426.0	15070.0	32.0	3809.0
43323.0	15407.0	28.0	3818.0
40606.0	15214.0	27.0	3852.0
39075.0	15515.0	25.0	3849.0
38619.0	15322.0	25.0	3780.0
38984.0	15393.0	26.0	3942.0
39339.0	15461.0	27.0	3879.0
40440.0	15306.0	31.0	4027.0
40204.0	15295.0	32.0	4356.0
39694.0	15216.0	31.0	4261.0
38971.0	14941.0	31.0	4316.0
38261.0	15255.0	30.0	3957.0
38257.0	14663.0	30.0	3977.0
37626.0	15083.0	27.0	3816.0
38952.0	14663.0	26.0	3648.0
39978.0	15030.0	31.0	3269.0
43880.0	15037.0	34.0	3140.0
45831.0	14794.0	34.0	3200.0
46757.0	16118.0	32.0	3690.0
47189.0	15681.0	35.0	3813.0
46616.0	16452.0	38.0	3593.0
45586.0	16113.0	36.0	3670.0
50263.0	20094.0	33.0	4045.0
54948.0	21160.0	28.0	4466.0
55169.0	20384.0	26.0	4410.0
54700.0	20311.0	28.0	4413.0
54851.0	20296.0	27.0	4473.0
54450.0	20031.0	28.0	4597.0
48070.0	16396.0	30.0	4781.0
46920.0	15752.0	30.0	4911.0
46941.0	16060.0	31.0	4972.0
47587.0	16073.0	32.0	4999.0
46437.0	15927.0	31.0	4977.0
45659.0	15814.0	30.0	4937.0
42448.0	15442.0	30.0	4868.0
40945.0	15683.0	29.0	4864.0
40258.0	15412.0	31.0	4881.0
39945.0	15739.0	29.0	4909.0
40017.0	15566.0	29.0	4941.0
40628.0	15831.0	29.0	4981.0
41998.0	16003.0	28.0	5036.0
42354.0	15735.0	29.0	5174.0
42194.0	15855.0	26.0	5270.0
41816.0	15543.0	26.0	5276.0
41896.0	15897.0	29.0	5285.0
41478.0	15502.0	34.0	5264.0
39142.0	15270.0	32.0	5022.0
37778.0	15089.0	30.0	4606.0
36475.0	14229.0	31.0	4253.0
35902.0	14302.0	33.0	3924.0
35564.0	13700.0	32.0	3579.0
35622.0	13734.0	29.0	3295.0
38381.0	13324.0	29.0	3199.0
38290.0	12983.0	29.0	3261.0
39858.0	14254.0	32.0	3407.0
40309.0	13790.0	37.0	3772.0
40671.0	14286.0	38.0	4099.0
40845.0	14306.0	35.0	4376.0
48128.0	18724.0	38.0	4643.0
51410.0	19678.0	44.0	4972.0
52611.0	18602.0	42.0	5154.0
53481.0	19284.0	39.0	5061.0
53825.0	18867.0	41.0	5113.0
54186.0	19256.0	44.0	5168.0
47213.0	14770.0	47.0	5252.0
46299.0	14603.0	45.0	5158.0
45349.0	15616.0	45.0	5087.0
45142.0	15558.0	42.0	5195.0
45424.0	15499.0	43.0	5163.0
44831.0	15504.0	42.0	5004.0
41895.0	15262.0	43.0	5018.0
40999.0	15821.0	38.0	4890.0
39982.0	14576.0	36.0	4662.0
40439.0	14993.0	50.0	4513.0
40028.0	15250.0	54.0	4418.0
40591.0	15501.0	53.0	4423.0
40910.0	16528.0	52.0	4180.0
40684.0	16090.0	54.0	4118.0
42073.0	17200.0	54.0	4177.0
42693.0	17089.0	42.0	4122.0
43148.0	17201.0	36.0	3891.0
42915.0	16718.0	34.0	3771.0
42467.0	16435.0	35.0	3734.0
42621.0	16455.0	32.0	3769.0
42642.0	17021.0	34.0	3771.0
41923.0	17704.0	32.0	3793.0
42070.0	17916.0	32.0	3994.0
42361.0	18882.0	32.0	4060.0
45782.0	19324.0	31.0	4155.0
46455.0	19394.0	32.0	4197.0
47409.0	19495.0	32.0	4175.0
47653.0	18872.0	29.0	4079.0
48386.0	18987.0	33.0	3971.0
49219.0	18991.0	31.0	3903.0
56443.0	23151.0	29.0	3768.0
58508.0	23347.0	29.0	3684.0
58360.0	22955.0	30.0	3684.0
58273.0	22682.0	32.0	3735.0
57608.0	22589.0	31.0	3735.0
58458.0	22603.0	33.0	3700.0
51849.0	17523.0	34.0	3709.0
51681.0	17917.0	31.0	3698.0
51093.0	17522.0	31.0	3713.0
51193.0	17333.0	32.0	3718.0
51306.0	17590.0	31.0	3767.0
50160.0	17217.0	30.0	3808.0
46873.0	17551.0	30.0	3809.0
45083.0	17471.0	35.0	3724.0
44604.0	17023.0	36.0	3681.0
44204.0	17477.0	36.0	3535.0
44569.0	17728.0	36.0	3386.0
43574.0	17182.0	39.0	3261.0
43470.0	17615.0	40.0	3077.0
