window_start	window_end	avg_conn_duration	number_of_conn	sum_orig_kbytes	sum_resp_kbytes
25/07/18 19:20	25/07/18 19:30	1.2834387001888587	14826	2541	486552
25/07/18 19:30	25/07/18 19:40	1.2972929158461404	15234	3576	555757
25/07/18 19:40	25/07/18 19:50	1.1265406478224014	18874	32234	381150
25/07/18 19:50	25/07/18 20:00	3.30286537451328	14125	23511	691037
25/07/18 20:00	25/07/18 20:10	1.4241059652137775	14431	2956	571261
25/07/18 20:10	25/07/18 20:20	1.3325478959537624	15570	2872	562865
25/07/18 20:20	25/07/18 20:30	4.008117676879847	14948	16173	747336
25/07/18 20:30	25/07/18 20:40	1.056399552249934	14756	3426	368284
25/07/18 20:40	25/07/18 20:50	1.452748206204874	29912	3074706	981633
25/07/18 20:50	25/07/18 21:00	1.2576171548449495	18638	112315	7716824
25/07/18 21:00	25/07/18 21:10	1.4199380688170578	14168	8941695	949163
25/07/18 21:10	25/07/18 21:20	1.5943639684836248	13961	5489	396262
25/07/18 21:20	25/07/18 21:30	1.1925506827801473	13136	2960	376249
25/07/18 21:30	25/07/18 21:40	1.651716394883046	14579	3669	439345
25/07/18 21:40	25/07/18 21:50	1.000949005192808	20798	5140	695955
25/07/18 21:50	25/07/18 22:00	1.2794794767857138	15680	3746	437267
25/07/18 22:00	25/07/18 22:10	1.0239945758990807	14348	2416364	387212
25/07/18 22:10	25/07/18 22:20	3.438859678414993	14612	16078	635242
25/07/18 22:20	25/07/18 22:30	1.7705679806854426	15377	2892	490019
25/07/18 22:30	25/07/18 22:40	2.2375642334957435	16420	3941	540405
25/07/18 22:40	25/07/18 22:50	1.2699388909548694	15489	5177	385935
25/07/18 22:50	25/07/18 23:00	1.4195807545435726	14471	3249	375584
25/07/18 23:00	25/07/18 23:10	1.0675619098776645	15368	3564	530008
25/07/18 23:10	25/07/18 23:20	1.068614213489377	16235	3383	422600
25/07/18 23:20	25/07/18 23:30	1.6205680149204689	15214	3900	625206
25/07/18 23:30	25/07/18 23:40	1.1584446523174565	15448	3936	389978
25/07/18 23:40	25/07/18 23:50	1.1178284185927383	15619	5477	512078
25/07/18 23:50	26/07/18 00:00	1.1595720534376464	15083	3481	458970
26/07/18 00:00	26/07/18 00:10	1.372470441373383	16281	3262	468666
26/07/18 00:10	26/07/18 00:20	1.852453331124095	15239	3422	416049
26/07/18 00:20	26/07/18 00:30	1.466267232525287	13448	4461	392741
26/07/18 00:30	26/07/18 00:40	1.6066387432255669	16053	4354	531082
26/07/18 00:40	26/07/18 00:50	1.3056217333576254	16464	5571	500476
26/07/18 00:50	26/07/18 01:00	1.318226597662091	14714	4589	431502
26/07/18 01:00	26/07/18 01:10	1.414261163029698	14985	3130	391723
26/07/18 01:10	26/07/18 01:20	1.0156339832242778	14366	3112	422841
26/07/18 01:20	26/07/18 01:30	6.078898933303161	15458	6388	528138
26/07/18 01:30	26/07/18 01:40	1.098415145791671	16503	3669	528726
26/07/18 01:40	26/07/18 01:50	0.8922530220522562	17912	5020	365150
26/07/18 01:50	26/07/18 02:00	1.121020147217958	14971	3138	371757
26/07/18 02:00	26/07/18 02:10	1.2458801482904784	17695	5309	642727
26/07/18 02:10	26/07/18 02:20	2.1075903062137913	15192	10051	644264
26/07/18 02:20	26/07/18 02:30	1.457570630231158	14839	2662	371537
26/07/18 02:30	26/07/18 02:40	4.612333836464502	13520	6996	411914
26/07/18 02:40	26/07/18 02:50	1.0768746914573484	31571	9044	595151
26/07/18 02:50	26/07/18 03:00	1.609189462899236	20633	4783193	495379
26/07/18 03:00	26/07/18 03:10	1.155816214986043	15401	4012	474707
26/07/18 03:10	26/07/18 03:20	1.7380393730821917	14600	3810	374694
26/07/18 03:20	26/07/18 03:30	1.9373327662044022	13268	3546	379990
26/07/18 03:30	26/07/18 03:40	1.12865290313092	15299	3985	509683
26/07/18 03:40	26/07/18 03:50	1.404226254311742	21627	6365	529081
26/07/18 03:50	26/07/18 04:00	1.1878873975627797	14853	3433	372706
26/07/18 04:00	26/07/18 04:10	1.0960165357616325	14331	2823	426474
26/07/18 04:10	26/07/18 04:20	2.5338655737726574	15175	11075	633842
26/07/18 04:20	26/07/18 04:30	1.0879069969782735	15554	2715	637846
26/07/18 04:30	26/07/18 04:40	1.114166541609394	16006	3828	479094
26/07/18 04:40	26/07/18 04:50	1.3140368459266902	15577	4612	396482
26/07/18 04:50	26/07/18 05:00	1.268084898661286	13371	4287	380910
26/07/18 05:00	26/07/18 05:10	1.9511926862275415	16700	3102	520482
26/07/18 05:10	26/07/18 05:20	1.5447363273230326	20243	3601	528478
26/07/18 05:20	26/07/18 05:30	1.7398838965218661	13858	3177	364537
26/07/18 05:30	26/07/18 05:40	1.3062505654916066	15063	6299	370205
26/07/18 05:40	26/07/18 05:50	1.010819513853585	15736	4882	492769
26/07/18 05:50	26/07/18 06:00	1.4993086911063223	15303	2912	405314
26/07/18 06:00	26/07/18 06:10	1.5353234193273406	15253	2858	715733
26/07/18 06:10	26/07/18 06:20	0.8122291021273488	13679	2721	368511
26/07/18 06:20	26/07/18 06:30	1.3771940626148458	14150	2659	366672
26/07/18 06:30	26/07/18 06:40	0.936293469244885	14713	3207	510778
26/07/18 06:40	26/07/18 06:50	0.9552973601868473	15628	4452	480824
26/07/18 06:50	26/07/18 07:00	1.495493502217289	14432	3267	405577
26/07/18 07:00	26/07/18 07:10	0.725271523181361	12963	2659	353048
26/07/18 07:10	26/07/18 07:20	0.9934407692468905	14314	2662	446693
26/07/18 07:20	26/07/18 07:30	1.2466761262381194	15043	2504	456603
26/07/18 07:30	26/07/18 07:40	0.7711173667670791	14606	3423	511947
26/07/18 07:40	26/07/18 07:50	0.9302288080903124	18071	5351	377361
26/07/18 07:50	26/07/18 08:00	1.5348780318393498	13097	2646	362873
26/07/18 08:00	26/07/18 08:10	5.629939138751229	16144	14747	815133
26/07/18 08:10	26/07/18 08:20	1.6347498173184365	16110	6364	505727
26/07/18 08:20	26/07/18 08:30	0.9598614043761117	16910	3314	395245
26/07/18 08:30	26/07/18 08:40	0.8531775159112819	14518	3276	364753
26/07/18 08:40	26/07/18 08:50	2.702300317823167	29529	11096	420385
26/07/18 08:50	26/07/18 09:00	1.0646891027374557	21151	5810	547057
26/07/18 09:00	26/07/18 09:10	1.6330306875982212	15272	2790	521834
26/07/18 09:10	26/07/18 09:20	0.847450463150393	14030	2756	360402
26/07/18 09:20	26/07/18 09:30	1.4667326132885667	12808	2681	372867
26/07/18 09:30	26/07/18 09:40	1.7389467250865605	15885	3529	459159
26/07/18 09:40	26/07/18 09:50	0.8267764041772636	20444	5266	516142
26/07/18 09:50	26/07/18 10:00	1.7720523624299398	15523	3678	434424
26/07/18 10:00	26/07/18 10:10	2.0100685161534266	14548	3047	353160
26/07/18 10:10	26/07/18 10:20	1.4047967425079162	13581	4075	414661
26/07/18 10:20	26/07/18 10:30	1.4675130808338854	16837	3759	579959
26/07/18 10:30	26/07/18 10:40	1.745193834429204	19315	8121	664668
26/07/18 10:40	26/07/18 10:50	41.43159627863506	15942	25509	387018
26/07/18 10:50	26/07/18 11:00	1.284742706899025	13944	3372	370966
26/07/18 11:00	26/07/18 11:10	1.327226661481424	15107	3733	468149
26/07/18 11:10	26/07/18 11:20	1.830639229366961	16018	53682	460486
26/07/18 11:20	26/07/18 11:30	1.640715986926401	15298	5262	498707
26/07/18 11:30	26/07/18 11:40	1.1644647015419987	14786	4382	362096
26/07/18 11:40	26/07/18 11:50	1.3246037165068538	14600	4510	420921
26/07/18 11:50	26/07/18 12:00	1.3803866544506065	15335	3205	515836
26/07/18 12:00	26/07/18 12:10	49.42261228621668	16208	4841	1962242
26/07/18 12:10	26/07/18 12:20	1.9868546123845798	15487	4056	420249
26/07/18 12:20	26/07/18 12:30	1.4709656334575716	13952	2794	371815
26/07/18 12:30	26/07/18 12:40	8.456310637093516	14822	46845	1175007
26/07/18 12:40	26/07/18 12:50	2.118390815679975	16824	8602	538476
26/07/18 12:50	26/07/18 13:00	1.89497714804035	14773	4310	434953
26/07/18 13:00	26/07/18 13:10	13.57364569290167	14116	5101	394683
26/07/18 13:10	26/07/18 13:20	1.2217660496633564	15001	3182	1045816
26/07/18 13:20	26/07/18 13:30	1.2738582336660622	15428	2966	1836969
26/07/18 13:30	26/07/18 13:40	1.770146885244838	15398	31807	451694
26/07/18 13:40	26/07/18 13:50	0.8535974994273813	19210	5373	374475
26/07/18 13:50	26/07/18 14:00	1.513919319246266	14647	2996	496090
26/07/18 14:00	26/07/18 14:10	1.2603757599424212	18758	4066	516632
26/07/18 14:10	26/07/18 14:20	1.2521832784908153	15505	4032	411607
26/07/18 14:20	26/07/18 14:30	2.3349295990644143	13895	3995	375041
26/07/18 14:30	26/07/18 14:40	1.5520025883979824	14463	4083	531695
26/07/18 14:40	26/07/18 14:50	2.4421337514286607	33073	12764	534840
26/07/18 14:50	26/07/18 15:00	1.1629344083511362	19662	4049	434983
26/07/18 15:00	26/07/18 15:10	5.020208718232439	13827	3646	364790
26/07/18 15:10	26/07/18 15:20	1.0644560101128568	13646	3229	439019
26/07/18 15:20	26/07/18 15:30	1.1659256516786978	15101	3173	557823
26/07/18 15:30	26/07/18 15:40	1.125409080710463	15314	3725	440956
26/07/18 15:40	26/07/18 15:50	0.9388515617290487	18808	5320	380026
26/07/18 15:50	26/07/18 16:00	0.9514516968213524	14912	3822	372806
26/07/18 16:00	26/07/18 16:10	0.8974967276384608	14914	3485	532303
26/07/18 16:10	26/07/18 16:20	0.9626464582889838	15032	3611	546831
26/07/18 16:20	26/07/18 16:30	0.9740140282967686	12899	2890	365901
26/07/18 16:30	26/07/18 16:40	0.8735507803812262	13273	3568	390436
26/07/18 16:40	26/07/18 16:50	0.6814989864702545	15817	605505	527753
26/07/18 16:50	26/07/18 17:00	3.7071145156807495	15975	3701	490600
26/07/18 17:00	26/07/18 17:10	7.0681126452555265	14712	604572	716270
26/07/18 17:10	26/07/18 17:20	5.8961363613021875	14683	20236	2607967
26/07/18 17:20	26/07/18 17:30	8.016132980036437	13174	35364	3406426
26/07/18 17:30	26/07/18 17:40	2.6970883612363514	15303	1205867	444526
26/07/18 17:40	26/07/18 17:50	3.4243888155209574	17151	5841	521952
26/07/18 17:50	26/07/18 18:00	2.1272176720433955	14011	3529	367807
26/07/18 18:00	26/07/18 18:10	3.027533157296614	14959	1205865	837214
26/07/18 18:10	26/07/18 18:20	2.3873210367147424	16778	1205582	520503
26/07/18 18:20	26/07/18 18:30	5.96305633282052	15600	604984	518354
26/07/18 18:30	26/07/18 18:40	1.9213859699100362	13227	3132	373351
26/07/18 18:40	26/07/18 18:50	0.9332708694317615	13357	3500	374150
26/07/18 18:50	26/07/18 19:00	0.8962251114638723	14489	5530	520458
26/07/18 19:00	26/07/18 19:10	0.8575145430524542	15214	3983	523666
26/07/18 19:10	26/07/18 19:20	0.9141086676519661	13194	2823	410806
26/07/18 19:20	26/07/18 19:30	1.2754946030410443	13548	2689	373102
26/07/18 19:30	26/07/18 19:40	0.8509988390286034	15071	3191	566620
26/07/18 19:40	26/07/18 19:50	0.6957046655831608	18151	4298	489851
26/07/18 19:50	26/07/18 20:00	1.1940070354994492	13465	3668	365054
26/07/18 20:00	26/07/18 20:10	0.8103900562287288	14690	3623	454934
26/07/18 20:10	26/07/18 20:20	0.8007565739708572	14891	2617	595071
